Paziente,20,167,266,279,642,815,978,1006,1185,1380,1417,626,679,889,1311,wavelet-LH_gldm_DependenceVariance,wavelet-HL_gldm_DependenceVariance,wavelet-HL_glcm_Idn,wavelet-HL_glrlm_GrayLevelNonUniformity
129,0.7276943,1.3512982,0.08697742,0.61316085,1.1419536,0.08769512,0.0,0.14333832,0.35567635,0.26205298,0.17906886,1.2548199,0.23622917,0.89463186,0.42119992,1.8175818925617369,1.9427274627489624,0.9139183834912218,29.617811285720663
133,0.40974307,0.37157527,0.37961298,0.5230063,0.24881345,0.21926695,0.7134502,0.48594892,0.062256753,0.16035166,0.7842146,0.6052296,0.6860589,0.015199393,0.100844875,4.565602216066482,4.6104199445983385,0.9409660228042704,37.95170095688415
135,0.0,0.053711385,0.0,0.76448226,1.1920228,0.3386945,0.6094959,0.26608837,0.38457358,0.35443482,0.46217903,0.69058925,0.67334473,0.33694473,0.088216126,2.579723865877712,1.949664694280079,0.9268286779157158,21.0907276564162
136,0.5320418,0.39692476,0.2569207,0.58138347,0.4074809,0.18096322,0.49920642,0.13653684,0.22796392,0.15461352,0.67118615,0.9267885,0.8621101,0.26267198,0.07909772,3.8250729125815335,4.2469426300819055,0.9479265735267066,65.13943507962802
137,0.59199643,0.3212817,0.17706847,0.45650402,0.5177636,0.21180028,0.6490164,0.3116187,0.20607722,0.33773717,0.97902834,0.54291993,0.73162574,0.2887579,0.11231066,4.165472910927456,4.315555555555555,0.9453177754080958,35.99663510307286
138,0.8833109,0.51198614,0.39015424,1.1434135,0.3929233,0.37192082,0.5161382,0.52212477,0.20486277,0.32277945,0.9043497,0.55380636,0.98107135,0.1764144,0.20846952,2.684969957458006,3.7343098986886543,0.926599583268038,21.62294729603781
139,0.44877088,0.06736225,0.17152187,0.6471416,0.41028136,0.35594988,0.4305395,0.34625387,0.23028141,0.5508834,0.66129285,0.58175606,0.7455624,0.098654896,0.0,4.718745866616059,4.343057927758513,0.9299717304479808,64.84038283911242
141,0.0,0.33652255,0.2080338,0.546965,0.6596675,0.12731963,0.36323178,0.57916355,0.5761685,0.41869137,0.0,1.4404526,0.026918277,1.032502,0.65455306,2.553593863651392,2.268465251603518,0.9256878797912846,24.67779597410008
142,0.56050456,0.19432047,0.12943289,0.7194675,0.4094342,0.25504678,0.69729996,0.24991846,0.117770135,0.5008049,0.69784206,0.9540233,0.91334504,0.065374166,0.02345419,2.2230859375,3.4262109375,0.9233714422280748,30.391766476036505
144,0.0,0.43995264,0.0,0.67808473,0.8173194,0.0,1.417059,0.70152783,0.11012089,0.864473,0.94516593,0.80131227,0.23642375,1.1725266,0.57589555,3.8149092970521536,4.303004535147393,0.932616837245578,36.86158984301891
146,0.4777248,0.2197465,0.27999055,0.78964174,0.3306967,0.22411287,0.48787296,0.13296223,0.11349118,0.049307317,0.7342714,0.5077871,0.86098707,0.011213124,0.14323983,5.063604293781889,3.835061848021923,0.9283822386074816,19.17548763453549
147,0.5172311,0.14101279,0.15972024,0.6273929,0.28126103,0.47773612,0.74272156,0.3296764,0.2003107,0.26718482,0.7626901,0.94312745,0.8024314,0.0,0.06817117,2.3159471108189056,2.5700197238658777,0.9247408098639522,29.44282812261181
149,0.013212919,0.0,0.26272053,0.43531695,1.1980506,0.02635032,1.5209968,0.7413056,0.0803296,1.9066247,0.7848441,1.8275254,0.5141632,1.6424968,0.29815054,3.657541246636483,3.891617025382271,0.9251747260465748,92.842387323095
150,0.32393003,0.02571997,0.18840134,0.3918353,0.39670599,0.35372794,0.17266417,0.48478234,0.35215634,0.124148995,0.5718994,0.6420563,0.6103984,0.119155735,0.0,3.9414786427331694,4.909527193094853,0.9439781013400736,48.61884060342205
153,0.44263232,0.46774033,0.23660725,0.6294842,0.32074004,0.34259868,0.30105817,0.0,0.18204814,0.22469696,0.59065366,0.64354235,0.9000514,0.026589632,0.13177359,2.6764662955317866,2.222472425512396,0.9417176739534128,32.29199254513264
